STATEFIPS,STATE,CONG_DISTRICT,agi_stub,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,VRTCRIND,N2,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N02910,A02910,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N11450,A11450,N11520,A11520,N11530,A11530,N10970,A10970,N10971,A10971,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
00,US,00,0,157375370.00,79245990.000,53555910.000,20794930.000,147347540.00,5402940.0000,83276600.000,101353840.00,6484430.0000,289054220.00,2141230.0000,1266670.0000,875890.0000,386000.0000,23155100.000,40673200.000,14569384830,155283590.00,14705166788,124333630.00,8883819196.0,47961000.000,98130017.000,31649680.000,371213236.00,30036510.000,282232254.00,3185360.0000,3581013.0000,28480220.000,413835395.00,32568290.000,1974070931.0,15579190.000,402185879.00,28966840.000,844586404.00,1737497.0455,15438440.000,203598105.00,23473060.000,410820512.00,9127050.0000,962289287.00,32525040.000,135781958.00,3082380.0000,805931.0000,990190.0000,28697221.000,3582420.0000,29819832.000,2298070.0000,12945149.000,4719490.0000,4145051.0000,47605110.000,17809708.000,139162570.00,2464725225.0,139162540.00,2412645667.0,25594690.000,52075694.000,14783110.000,641969589.00,5132942861.0,3569480.0000,69421544.000,10763600.000,249262218.00,3422280.0000,7275269.0000,12721950.000,99961071.000,5703110.0000,4252671.0000,14540060.000,117595758.00,14599740.000,119457090.00,11339750.000,135240577.00,282490.0000,2457194.0000,937810.0000,1392707.0000,1261560.0000,2826059.0000,780590.0000,17551419.000,11991140.000,247868318.00,952420.0000,36262294.000,25425060.000,200130574.00,126680470.00,11578338949,126071070.00,2247288975.0,225720.0000,4909590.0000,2576020.0000,3765128.0000,37285480.000,51636624.000,10479700.000,17245147.000,578100.0000,963590.0000,7856750.0000,8160546.0000,9101400.0000,1725488.0000,11490550.000,8338097.0000,2600800.0000,4930396.0000,21257110.000,76097992.000,7331010.0000,51191766.000,7714440.0000,53037016.000,148750260.00,2533144967.0,31698410.000,64452149.000,24838260.000,47778730.000,37086500.000,113095712.00,5981020.0000,5166820.0000,4223160.0000,3557544.0000,1149490.0000,4569213.0000,5694270.0000,12188367.000,1156250.0000,5429907.0000,11427670.000,19564217.000,124351420.00,332701138.00,121847270.00,2194810862.0,128503890.00,2351676903.0,5931520.0000,13770557.000,7086720.0000,57349575.000,38466160.000,301349359.00,113563720.00,480762599.00,110585620.00,367663660.00,3737610.0000,111104915.00
01,AL,00,0,2132870.0000,965800.0000,741680.0000,375230.0000,2007150.0000,61540.0000,1160400.0000,1468670.0000,58710.0000,4082000.0000,31660.0000,21910.0000,9850.0000,6340.0000,454320.0000,547530.0000,152773424.00,2098840.0000,154084928.00,1704330.0000,97263951.000,567200.0000,801542.0000,300640.0000,2748745.0000,281550.0000,2114531.0000,61610.0000,73499.0000,398680.0000,4094411.0000,307350.0000,14031785.000,187700.0000,4234790.0000,439600.0000,12128312.000,42545.0000,101070.0000,818849.0000,341140.0000,5580738.0000,99180.0000,11665140.000,417930.0000,1311504.0000,45230.0000,11732.0000,6980.0000,184607.0000,38130.0000,315972.0000,24500.0000,125287.0000,52660.0000,47388.0000,732800.0000,288438.0000,1931610.0000,34973501.000,1931610.0000,34250672.000,353680.0000,722687.0000,149450.0000,6420540.0000,43640932.000,41620.0000,670178.0000,119780.0000,1349402.0000,23910.0000,45233.0000,120060.0000,332256.0000,95120.0000,46543.0000,145560.0000,938131.0000,146540.0000,966113.0000,106200.0000,1023682.0000,1650.0000,12316.0000,6610.0000,6172.0000,12000.0000,21574.0000,7480.0000,85995.0000,132220.0000,3173072.0000,11640.0000,347739.0000,265910.0000,2316423.0000,1631290.0000,112761711.00,1626510.0000,19745615.000,1630.0000,21285.0000,31080.0000,44623.0000,491220.0000,552778.0000,83680.0000,133954.0000,5990.0000,8995.0000,116650.0000,122276.0000,151430.0000,29950.0000,171210.0000,115529.0000,37600.0000,50856.0000,279110.0000,855969.0000,118680.0000,1039808.0000,123830.0000,1072551.0000,2032170.0000,23774675.000,576790.0000,1355355.0000,477930.0000,1073758.0000,585890.0000,1812862.0000,100670.0000,89352.0000,56270.0000,42670.0000,30120.0000,110612.0000,119780.0000,269190.0000,28930.0000,121588.0000,172060.0000,292595.0000,1768860.0000,5000924.0000,1552950.0000,19179512.000,1662160.0000,20563548.000,42440.0000,73890.0000,56850.0000,341952.0000,457590.0000,3193764.0000,1610440.0000,6389968.0000,1581320.0000,5603504.0000,35920.0000,764533.0000
01,AL,00,1,51720.0000,33060.0000,9930.0000,7430.0000,43260.0000,3090.0000,22950.0000,31960.0000,770.0000,83250.0000,590.0000,540.0000,50.0000,0.0000,9090.0000,15930.0000,-1112324.000,17720.0000,-1095871.000,4950.0000,208894.0000,6990.0000,15805.0000,3470.0000,15678.0000,3170.0000,11344.0000,170.0000,312.0000,10150.0000,-209918.0000,5410.0000,97780.0000,1650.0000,19321.0000,2930.0000,40918.0000,2741.0000,700.0000,5459.0000,0.0000,0.0000,3810.0000,-425477.0000,3870.0000,16453.0000,0.0000,0.0000,0.0000,0.0000,910.0000,6149.0000,20.0000,145.0000,410.0000,451.0000,9370.0000,3461.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,490.0000,687.0000,0.0000,0.0000,380.0000,177.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,11.0000,0.0000,0.0000,2280.0000,5661.0000,4270.0000,48155.0000,4540.0000,49392.0000,33870.0000,159833.0000,6680.0000,15936.0000,6170.0000,14717.0000,11020.0000,38060.0000,1410.0000,1260.0000,2600.0000,2179.0000,1450.0000,13361.0000,0.0000,0.0000,1410.0000,14711.0000,13430.0000,22454.0000,38830.0000,94009.0000,420.0000,619.0000,3270.0000,8029.0000,50.0000,45.0000,0.0000,0.0000,1260.0000,2923.0000,33220.0000,154761.0000,32700.0000,144432.0000,610.0000,6306.0000
01,AL,00,2,250400.0000,189590.0000,21750.0000,35240.0000,231290.0000,9730.0000,121280.0000,177940.0000,3980.0000,295680.0000,5460.0000,3600.0000,1880.0000,1800.0000,54130.0000,49370.0000,1335467.0000,250370.0000,1363771.0000,178030.0000,1009176.0000,32960.0000,13585.0000,14310.0000,17591.0000,13100.0000,11895.0000,600.0000,305.0000,47580.0000,150705.0000,14260.0000,13063.0000,10550.0000,46805.0000,22960.0000,118277.0000,1955.0000,8530.0000,51146.0000,1000.0000,3519.0000,2290.0000,-16339.0000,43480.0000,28304.0000,420.0000,94.0000,0.0000,0.0000,1800.0000,6394.0000,410.0000,1310.0000,1410.0000,1287.0000,40240.0000,12065.0000,248400.0000,3229971.0000,248400.0000,3155858.0000,38480.0000,74114.0000,1940.0000,39913.0000,10220.0000,1450.0000,25169.0000,620.0000,1129.0000,870.0000,585.0000,740.0000,1303.0000,630.0000,187.0000,1680.0000,3103.0000,1720.0000,3175.0000,660.0000,5348.0000,0.0000,0.0000,0.0000,0.0000,70.0000,153.0000,50.0000,49.0000,1060.0000,1908.0000,50.0000,623.0000,530.0000,85.0000,4870.0000,11962.0000,4790.0000,1669.0000,0.0000,0.0000,1300.0000,531.0000,1220.0000,181.0000,640.0000,20.0000,0.0000,0.0000,100.0000,34.0000,0.0000,0.0000,30.0000,13.0000,0.0000,0.0000,39710.0000,29967.0000,14100.0000,131632.0000,14850.0000,134033.0000,212870.0000,509697.0000,128090.0000,201396.0000,124700.0000,178296.0000,42760.0000,144777.0000,10950.0000,9678.0000,6830.0000,4128.0000,4600.0000,14816.0000,4960.0000,8357.0000,4430.0000,15740.0000,31010.0000,50966.0000,162160.0000,361388.0000,4430.0000,1496.0000,46160.0000,32592.0000,0.0000,0.0000,0.0000,0.0000,10980.0000,5458.0000,208660.0000,482559.0000,207820.0000,480258.0000,1030.0000,1778.0000
01,AL,00,3,457390.0000,268650.0000,53370.0000,127130.0000,434850.0000,11080.0000,241630.0000,381950.0000,7690.0000,762550.0000,9470.0000,6660.0000,2840.0000,3430.0000,151280.0000,92470.0000,7832743.0000,457390.0000,7931186.0000,353660.0000,5916302.0000,59810.0000,31259.0000,22270.0000,42039.0000,20220.0000,28200.0000,1540.0000,1020.0000,101490.0000,515797.0000,23050.0000,55706.0000,22300.0000,176147.0000,65050.0000,750583.0000,4100.0000,41440.0000,378825.0000,41240.0000,84575.0000,4590.0000,-6504.0000,86470.0000,98443.0000,2380.0000,561.0000,30.0000,182.0000,3450.0000,12275.0000,1860.0000,5788.0000,4740.0000,4637.0000,102540.0000,32386.0000,451940.0000,7238571.0000,451940.0000,7103146.0000,69690.0000,135425.0000,5430.0000,125190.0000,98154.0000,4210.0000,67541.0000,2100.0000,3197.0000,2530.0000,2357.0000,2420.0000,3852.0000,2280.0000,742.0000,4960.0000,9699.0000,5070.0000,11037.0000,2210.0000,15954.0000,20.0000,146.0000,0.0000,0.0000,540.0000,970.0000,20.0000,9.0000,3790.0000,17978.0000,390.0000,5189.0000,27650.0000,17622.0000,261700.0000,1335961.0000,260740.0000,134904.0000,0.0000,0.0000,4250.0000,1794.0000,72440.0000,21931.0000,1740.0000,67.0000,270.0000,84.0000,22580.0000,10414.0000,34040.0000,6053.0000,13510.0000,4238.0000,2250.0000,964.0000,74650.0000,123562.0000,42160.0000,356454.0000,43530.0000,358571.0000,436290.0000,1870922.0000,293350.0000,796871.0000,249520.0000,677582.0000,136550.0000,433499.0000,26610.0000,23601.0000,20720.0000,11816.0000,13870.0000,34853.0000,30020.0000,75872.0000,13170.0000,37598.0000,46710.0000,77104.0000,390860.0000,996200.0000,219890.0000,112991.0000,275890.0000,240814.0000,100.0000,73.0000,0.0000,0.0000,32210.0000,31342.0000,413010.0000,1661234.0000,411600.0000,1656870.0000,1950.0000,4038.0000
01,AL,00,4,517390.0000,260770.0000,108070.0000,131790.0000,489170.0000,12740.0000,266370.0000,399660.0000,12120.0000,934320.0000,9620.0000,6960.0000,2660.0000,1110.0000,140370.0000,112660.0000,18715045.000,517390.0000,18849914.000,441410.0000,15350983.000,91530.0000,51143.0000,37210.0000,80246.0000,33640.0000,54771.0000,4720.0000,3343.0000,76130.0000,358313.0000,37600.0000,143417.0000,31180.0000,336644.0000,92920.0000,1678024.0000,6499.0000,25140.0000,204055.0000,87820.0000,652499.0000,8510.0000,14235.0000,74050.0000,134869.0000,7530.0000,1827.0000,270.0000,1731.0000,4970.0000,22254.0000,5360.0000,19134.0000,12400.0000,11859.0000,172910.0000,58181.0000,501700.0000,8593786.0000,501700.0000,8438802.0000,76670.0000,154984.0000,15680.0000,390804.0000,597940.0000,10150.0000,146818.0000,8380.0000,17459.0000,5310.0000,7042.0000,8180.0000,12234.0000,7400.0000,3156.0000,14160.0000,37143.0000,14380.0000,44561.0000,7400.0000,50661.0000,80.0000,701.0000,270.0000,313.0000,2240.0000,4229.0000,140.0000,381.0000,12960.0000,97054.0000,2080.0000,39327.0000,47510.0000,75984.0000,509700.0000,9635736.0000,506740.0000,1041229.0000,0.0000,0.0000,11610.0000,6897.0000,170000.0000,104094.0000,6350.0000,347.0000,1410.0000,1583.0000,35430.0000,38834.0000,92850.0000,19792.0000,51190.0000,30534.0000,11030.0000,11788.0000,44610.0000,111895.0000,38970.0000,336517.0000,39500.0000,332385.0000,504240.0000,2329562.0000,143150.0000,337886.0000,97380.0000,203096.0000,146480.0000,447432.0000,24040.0000,21158.0000,19810.0000,15970.0000,6290.0000,27693.0000,30960.0000,75847.0000,6000.0000,30184.0000,34770.0000,57099.0000,486240.0000,1268839.0000,478550.0000,937139.0000,485520.0000,1058433.0000,60.0000,45.0000,0.0000,0.0000,85140.0000,112912.0000,429400.0000,1382953.0000,426830.0000,1373998.0000,3480.0000,8688.0000
01,AL,00,5,288280.0000,117900.0000,114630.0000,44940.0000,271880.0000,7950.0000,160290.0000,195590.0000,9280.0000,571450.0000,3530.0000,2220.0000,1330.0000,0.0000,52450.0000,82430.0000,17701014.000,288280.0000,17823684.000,243260.0000,13611493.000,82210.0000,54977.0000,38480.0000,113933.0000,35610.0000,79094.0000,8220.0000,6846.0000,45430.0000,361197.0000,38680.0000,207919.0000,28120.0000,411652.0000,71960.0000,1823475.0000,5985.0000,10350.0000,73612.0000,65790.0000,1078113.0000,9060.0000,76792.0000,56310.0000,122670.0000,9710.0000,2409.0000,290.0000,2618.0000,4080.0000,22932.0000,4670.0000,19946.0000,11340.0000,10789.0000,124130.0000,47484.0000,269380.0000,5158715.0000,269380.0000,5048086.0000,54660.0000,110629.0000,18890.0000,462641.0000,1183938.0000,8740.0000,126677.0000,13740.0000,40022.0000,4290.0000,7205.0000,13720.0000,20379.0000,11270.0000,5362.0000,18340.0000,69037.0000,18560.0000,76017.0000,12800.0000,90838.0000,250.0000,1365.0000,460.0000,650.0000,4150.0000,7699.0000,240.0000,620.0000,16090.0000,132474.0000,1560.0000,22841.0000,37590.0000,91522.0000,287740.0000,11950487.000,287050.0000,1426381.0000,0.0000,0.0000,6560.0000,9308.0000,78400.0000,70017.0000,9120.0000,719.0000,1030.0000,1729.0000,19030.0000,23796.0000,24540.0000,4105.0000,30980.0000,22643.0000,8670.0000,14296.0000,29470.0000,88027.0000,11980.0000,110194.0000,12320.0000,115042.0000,283450.0000,1895647.0000,5520.0000,3266.0000,160.0000,67.0000,75590.0000,238600.0000,11850.0000,10620.0000,4680.0000,5871.0000,2110.0000,12380.0000,14100.0000,31924.0000,2080.0000,14747.0000,18500.0000,30187.0000,276050.0000,788999.0000,284350.0000,1356366.0000,285320.0000,1455949.0000,0.0000,0.0000,0.0000,0.0000,78160.0000,161840.0000,209530.0000,600480.0000,206410.0000,588839.0000,3920.0000,11054.0000
01,AL,00,6,182500.0000,47430.0000,114890.0000,15910.0000,172170.0000,5180.0000,106480.0000,113140.0000,6890.0000,417920.0000,1320.0000,770.0000,570.0000,0.0000,23830.0000,59840.0000,15819563.000,182500.0000,15924761.000,153300.0000,11651256.000,71010.0000,53839.0000,36210.0000,134833.0000,33710.0000,94252.0000,8610.0000,8582.0000,32610.0000,328977.0000,36150.0000,278647.0000,24250.0000,467969.0000,55900.0000,1766478.0000,5518.0000,6350.0000,45225.0000,48750.0000,1068659.0000,9030.0000,106008.0000,40040.0000,105198.0000,6640.0000,1763.0000,290.0000,3037.0000,3330.0000,21887.0000,3160.0000,16660.0000,7690.0000,6274.0000,89870.0000,39857.0000,165180.0000,3630187.0000,165180.0000,3546728.0000,39600.0000,83460.0000,17330.0000,463522.0000,1507912.0000,5990.0000,96357.0000,13520.0000,51990.0000,3240.0000,6264.0000,13750.0000,22216.0000,11040.0000,4673.0000,16980.0000,80573.0000,17120.0000,84799.0000,12650.0000,94887.0000,70.0000,393.0000,550.0000,643.0000,3970.0000,7507.0000,190.0000,606.0000,14890.0000,147823.0000,1280.0000,24934.0000,31540.0000,91605.0000,182300.0000,11599414.000,182010.0000,1481781.0000,0.0000,0.0000,3160.0000,7070.0000,42260.0000,48797.0000,9580.0000,910.0000,990.0000,1856.0000,13440.0000,16358.0000,0.0000,0.0000,20930.0000,16170.0000,5440.0000,9741.0000,22380.0000,73922.0000,4150.0000,34912.0000,4550.0000,41162.0000,180220.0000,1754019.0000,0.0000,0.0000,0.0000,0.0000,53270.0000,172515.0000,8320.0000,7282.0000,1140.0000,1753.0000,780.0000,3785.0000,11190.0000,24930.0000,810.0000,4302.0000,10540.0000,17892.0000,164800.0000,555821.0000,181190.0000,1432985.0000,181520.0000,1518529.0000,0.0000,0.0000,0.0000,0.0000,60650.0000,171032.0000,121530.0000,405383.0000,118640.0000,393122.0000,3560.0000,11721.0000
01,AL,00,7,283840.0000,38460.0000,230570.0000,10890.0000,268370.0000,8440.0000,167360.0000,143860.0000,12760.0000,738880.0000,1530.0000,1020.0000,520.0000,0.0000,21400.0000,94960.0000,38553022.000,283840.0000,38839148.000,243850.0000,27908248.000,146810.0000,150715.0000,87610.0000,474567.0000,82920.0000,341071.0000,26270.0000,33749.0000,57370.0000,881399.0000,88300.0000,1267224.0000,47340.0000,1405552.0000,96320.0000,3964312.0000,10477.0000,7250.0000,51382.0000,71370.0000,1911537.0000,25870.0000,643010.0000,77680.0000,286126.0000,15690.0000,4341.0000,1590.0000,25280.0000,7910.0000,68272.0000,6800.0000,40349.0000,14670.0000,12091.0000,152870.0000,74342.0000,239030.0000,5741394.0000,239030.0000,5614284.0000,57900.0000,127112.0000,44830.0000,1431338.0000,6471017.0000,9150.0000,156230.0000,38880.0000,232677.0000,5180.0000,13641.0000,39250.0000,81400.0000,31270.0000,13534.0000,44270.0000,311297.0000,44480.0000,315886.0000,35740.0000,315023.0000,550.0000,3160.0000,2170.0000,2413.0000,1030.0000,1016.0000,1200.0000,4639.0000,40590.0000,552707.0000,2760.0000,72271.0000,69290.0000,307040.0000,283690.0000,31001459.000,283440.0000,4567200.0000,120.0000,1053.0000,3120.0000,13315.0000,83880.0000,96371.0000,27370.0000,5337.0000,1900.0000,3345.0000,26070.0000,32840.0000,0.0000,0.0000,41600.0000,32036.0000,8130.0000,11768.0000,40700.0000,177443.0000,3050.0000,21944.0000,3790.0000,35038.0000,281130.0000,4734774.0000,0.0000,0.0000,0.0000,0.0000,95050.0000,290051.0000,17490.0000,15753.0000,490.0000,953.0000,810.0000,2979.0000,22780.0000,45832.0000,800.0000,3288.0000,17100.0000,36893.0000,226500.0000,857614.0000,282940.0000,4470830.0000,283180.0000,4679385.0000,2320.0000,670.0000,890.0000,386.0000,126240.0000,599772.0000,157110.0000,651482.0000,150040.0000,601053.0000,8930.0000,49602.0000
01,AL,00,8,81650.0000,7960.0000,71330.0000,1590.0000,77320.0000,2760.0000,56280.0000,21730.0000,4220.0000,222950.0000,140.0000,140.0000,0.0000,0.0000,1770.0000,31470.0000,23108705.000,81650.0000,23395315.000,69600.0000,13958152.000,58050.0000,138033.0000,45570.0000,615684.0000,44020.0000,465201.0000,10520.0000,16361.0000,21420.0000,1005463.0000,47320.0000,2159284.0000,17990.0000,1013544.0000,27540.0000,1714215.0000,3805.0000,1230.0000,8675.0000,20340.0000,621201.0000,22460.0000,1865557.0000,26020.0000,286610.0000,2730.0000,704.0000,2720.0000,75757.0000,6980.0000,85968.0000,1660.0000,15976.0000,0.0000,0.0000,35870.0000,18081.0000,49590.0000,1223882.0000,49590.0000,1191945.0000,14420.0000,31938.0000,32070.0000,1365259.0000,9552135.0000,1880.0000,48275.0000,29890.0000,353829.0000,1930.0000,6176.0000,29660.0000,99003.0000,22730.0000,12205.0000,31910.0000,297120.0000,31940.0000,297857.0000,25750.0000,306657.0000,470.0000,3446.0000,2110.0000,1620.0000,0.0000,0.0000,2390.0000,13547.0000,30070.0000,599083.0000,1780.0000,78868.0000,38350.0000,450987.0000,81610.0000,20051671.000,81580.0000,3802577.0000,200.0000,2122.0000,680.0000,5324.0000,32830.0000,35851.0000,19630.0000,10815.0000,390.0000,398.0000,0.0000,0.0000,0.0000,0.0000,12940.0000,9884.0000,1910.0000,2206.0000,18210.0000,144510.0000,0.0000,0.0000,730.0000,6721.0000,80700.0000,3567887.0000,0.0000,0.0000,0.0000,0.0000,25170.0000,47928.0000,0.0000,0.0000,0.0000,0.0000,190.0000,645.0000,5770.0000,6428.0000,210.0000,871.0000,0.0000,0.0000,21040.0000,70278.0000,81520.0000,3766204.0000,81610.0000,4001405.0000,28060.0000,19822.0000,38640.0000,50204.0000,51370.0000,728715.0000,30000.0000,288457.0000,23830.0000,183666.0000,7320.0000,103794.0000
